EventName,Year,Entries,Segment,Disposition,SourceFile
Folkboat+Knarr Balena Bay Regatta,2026,31,One-Design,new event,2026\8. August\Folkboat+Knarr Balena Bay Regatta [Aug 29-30].xlsx
J Cup Europe,2026,30,One-Design,new event,2026\6. June\🔷J Cup Europe [Jun 18-20].xlsx
Ensign National Championship Regatta,2024,30,One-Design,new event,August Marketshares 2024\Ensign National Championship Regatta [Aug 11 - 15].xlsx
Melges 24 World Championship,2024,30,One-Design,new event,August Marketshares 2024\Melges 24 World Championship [Aug 20 - 24].xlsx
Viper North Americans,2025,29,One-Design,new event,2025\10. October\Viper North Americans [Oct 1-6].xlsx
Melges 15 National Championship,2026,27,One-Design,new event,2026\6. June\Melges 15 National Championship - [June 11-14].xlsx
IC37 National Championship,2025,26,One-Design,new event,2025\7. July\IC37 National Championship [18-20 July].xlsx
Star North American Championship,2024,26,One-Design,new event,August Marketshares 2024\Star North American Championship [Aug 5 - 10].xlsx
Folkboat Regatta Series 2,2025,25,One-Design,new event,2025\7. July\Folkboat Regatta Series 2 [Jul 5-6].xlsx
Melges 24 Midwest One Design Spring Championship,2026,24,One-Design,new event,2026\5. May\Melges 24 Midwest One Design Spring Championship [May 17-18].xlsx
J24 Midwinter Championship,2026,23,One-Design,new event,2026\3. March\J24 Midwinter Championship [March 13-15].xlsx
J105 North Americans,2026,22,One-Design,new event,2026\10. October\J105 North Americans [Oct 15 - 18].xlsx
Folkboat Regatta Series 3,2025,21,One-Design,new event,2025\9. September\🔹Folkboat Regatta Series 3 [Sep 13-14].xlsx
J24 North American Championship,2025,21,One-Design,new event,2025\5. May\J24 North American Championship [May 26-31].xlsx
Swiss Surprise Championship,2025,21,One-Design,new event,2025\8. August\🔹Swiss Surprise Championship [Aug 12-24].xlsx
NA's Cal 25 Nationals EYC,2026,20,One-Design,new event,2026\9. September\NA's Cal 25 Nationals EYC [Sept 18-20].xlsx
Cape 31 EU&MED 2025,2025,20,One-Design,new event,2025\5. May\Cape 31 EU&MED Marketshare 2025.xlsx
Cape 31 European Championships,2025,20,One-Design,new event,2025\10. October\🔹Cape 31 European Championships [Oct 16-19].xlsx
Atlantic Class National Championship,2024,20,One-Design,new event,August Marketshares 2024\Atlantic Class National Championship [Aug 14 - 16].xlsx
Daysailer North American,2026,19,One-Design,new event,2026\8. August\Daysailer North American [Aug 3-7].xlsx
Etchells Pre-Worlds,2026,19,One-Design,new event,2026\1. January\Etchells Pre-Worlds [Jan 8-11].xlsx
Atlantic Nationals,2026,18,One-Design,new event,2026\8. August\Atlantic Nationals [Aug 12-15].xlsx
Interlake Nationals 2026,2026,17,One-Design,new event,2026\7. July\🔷Interlake Nationals 2026 [Jul 8-11].xlsx
Etchells North American Championship,2025,17,One-Design,new event,2025\5. May\Etchells North American Championship [May 16 - 18].xlsx
Yngling North American Championship,2024,17,One-Design,new event,August Marketshares 2024\Yngling North American Championship [August 1-4].xlsx
Folkboat Regatta Series 1,2025,16,One-Design,new event,2025\6. June\Folkboat Regatta Series 1 [Jun 14-15].xlsx
CLUBSWAN 28 USA LEAGUE EVENT 4,2026,15,One-Design,new event,2026\7. July\CLUBSWAN 28 USA LEAGUE EVENT 4 [JULY 14-18].xlsx
IC37 North American Championship,2026,15,One-Design,new event,2026\10. October\IC37 North American Championship.xlsx
Cape 31 MED Round 5,2025,14,One-Design,new event,2025\9. September\🔹Cape 31 MED Round 5 [Sep 12-14].xlsx
International Knarr Championship,2024,14,One-Design,new event,August Marketshares 2024\International Knarr Championship [Aug 31 - Sept 7].xlsx
Cape 31 MED Round 4,2025,13,One-Design,new event,2025\7. July\Cape 31 MED Round 4 [July 18-20].xlsx
J88 North American Championship,2026,12,One-Design,new event,2026\9. September\J88 North American Championship Marketshare.xlsx
Cape 31 UK 2025,2025,12,One-Design,match-or-discard,2026\4. April\Cape 31 UK Marketshare 2025.xlsx
J88 North American Championship,2025,12,One-Design,new event,2026\9. September\J88 North American Championship Marketshare.xlsx
P40 Nationals,2025,12,One-Design,new event,2025\10. October\🔹P40 Nationals [18-19 Oct].xlsx
2026 Melges 24 Canadian National Championship,2026,11,One-Design,new event,2026\6. June\2026 Melges 24 Canadian National Championship .xlsx
Dragon Gold Cup 2025,2025,11,One-Design,new event,2025\8. August\Dragon Gold Cup 2025 Marketshare.xlsx
P40 Nationals,2026,10,One-Design,new event,2026\10. October\🔹P40 Nationals [Oct 17-18].xlsx
Beneteau 36.7 Class,2026,9,One-Design,new event,2026\8. August\Beneteau 36.7 Class [Aug 20-23].xlsx
Cape 31 UK Round 5,2025,9,One-Design,match-or-discard,2025\8. August\🔹Cape 31 UK Round 5 [Aug 3-5].xlsx
CLUBSWAN 28 USA LEAGUE EVENT 1,2026,8,One-Design,new event,2026\3. March\CLUBSWAN 28 USA LEAGUE EVENT 1 [March 11-15].xlsx
CLUBSWAN 28 USA LEAGUE EVENT 2,2026,8,One-Design,new event,2026\4. April\CLUBSWAN 28 USA LEAGUE EVENT 2 [APRIL 22-26].xlsx
Cape 31 Med Porto Cervo,2026,8,One-Design,new event,2026\4. April\🔹Cape 31 Med Porto Cervo [Apr 24 -26].xlsx
GP World Imperia,2026,7,One-Design,new event,2026\8. August\GP World Imperia [Aug 29- sept 1] .xlsx
J109 NAs,2026,6,One-Design,new event,2026\8. August\J109 NAs [Aug 6-9].xlsx
Melges 19 Lake Geneva Summer Regatta,2026,6,One-Design,new event,2026\6. June\Melges 19 Lake Geneva Summer Regatta  [June 5-7].xlsx
Annapolis YC Spring One Design Regatta,2025,6,One-Design,new event,2025\4. April\Annapolis YC Spring One Design Regatta [April 26].xlsx
Cape 31 UK Round 6 - Finale,2025,5,One-Design,match-or-discard,2025\9. September\🔹Cape 31 UK Round 6 - Finale [Sep 5-7].xlsx
Kaszube Cup - Junior Fleet Regatta,2026,4,One-Design,new event,2026\7. July\Kaszube Cup - Junior Fleet Regatta [Jul 7-8].xlsx
Melges 19 Winter Series 1,2025,4,One-Design,new event,2025\12. December\Melges 19 Winter Series 1.xlsx
J70 NSW States,2026,3,One-Design,new event,2026\10. October\J70 NSW States [Oct 10-12].xlsx
Shark North American Championship,2025,3,One-Design,new event,2025\6. June\Shark North American Championship [June 28-29].xlsx
Rolex Swan Cup 2026,2026,167,Premier Cruise,new event,2026\9. September\Rolex Swan Cup 2026 [Sep 14 - 19].xlsx
2026 St Barths Bucket Regatta,2026,39,Premier Cruise,new event,2026\3. March\2026 St Barths Bucket Regatta [12-15].xlsx
Swan Heritage Reunion,2026,33,Premier Cruise,new event,2026\6. June\Swan Heritage Reunion [June 19-21].xlsx
2026 St Barths Bucket Regatta,2025,25,Premier Cruise,new event,2026\3. March\2026 St Barths Bucket Regatta [12-15].xlsx
SuperYacht Cup Palma,2026,23,Premier Cruise,new event,2026\6. June\🔷SuperYacht Cup Palma [June 24-27].xlsx
Ibiza JoySail Annual,2025,22,Premier Cruise,new event,2026\9. September\🔹Ibiza JoySail Annual.xlsx
Ibiza JoySail Annual,2024,20,Premier Cruise,new event,2026\9. September\🔹Ibiza JoySail Annual.xlsx
Ibiza JoySail Annual,2026,19,Premier Cruise,new event,2026\9. September\🔹Ibiza JoySail Annual.xlsx
GIORGIO ARMANI SUPERYACHT REGATTA,2026,18,Premier Cruise,new event,2026\5. May\GIORGIO ARMANI SUPERYACHT REGATTA [May 26-30].xlsx
GIORGIO ARMANI SUPERYACHT REGATTA,2025,15,Premier Cruise,new event,2026\5. May\GIORGIO ARMANI SUPERYACHT REGATTA [May 26-30].xlsx
SuperYacht Cup Palma,2025,12,Premier Cruise,new event,2026\6. June\🔷SuperYacht Cup Palma [June 24-27].xlsx
The Superyacht Cup Palma 2025,2025,12,Premier Cruise,new event,2025\6. June\The Superyacht Cup Palma Marketshare 2025.xlsx
Superyacht Challenge Antigua,2026,11,Premier Cruise,new event,2026\3. March\Superyacht Challenge Antigua [March 3-8].xlsx
